aadhar_no,holder_name,institute_name,passing_year,total_marks,Grade
102427595357,Hilda Toy,South Pennsylvania University,2019,420,1
144544266723,Pattie Zieme,West Lakin,2004,954,1
163323811023,Mr. Janelle Mertz,The Texas College,2008,588,1
203249753210,Ms. Jacob Hilpert,OKeefe College,2013,878,1
215066055265,Christin Thompson,DuBuque University,2002,329,1
309452684495,Tory Romaguera,Southern North Dakota Institute,2016,428,1
326349845953,Viola Pacocha,South Koss,2017,436,1
329083865264,Marlen Ortiz,Northern Lemke,2015,422,1
340147863175,Curt Littel,Pollich College,2001,587,1
379777599594,Debora Moore Sr.,The Massachusetts University,2016,759,1
382332248492,Sherwood King,North Mississippi Academy,2003,393,1
393503212350,Pattie Moore PhD,South New Mexico Institute,2016,887,1
406245637564,Marguerita Doyle,Eastern South Dakota Academy,2004,374,1
463112865886,Jennie Ryan PhD,Western Toy Academy,2018,574,1
477722876954,Alfonso Fisher,North Missouri Institute,2015,940,1
512842280060,Mr. Loura Jenkins,North Minnesota Academy,2001,470,1
521010324496,Jarrett Cormier,The Kiehn,2019,882,1
545564329238,Dr. Jeanelle Towne,Kozey College,2019,562,1
576887021274,Darleen Fritsch V,Western Upton,2015,562,1
581673261807,Margery Abshire,Eastern Colorado Institute,2000,322,1
621971957023,Calandra Altenwerth,South Ruecker Academy,2008,614,1
656740886780,Patricia Price,East New Hampshire College,2003,426,1
660085938419,Marion Sanford,West Georgia Institute,2013,460,1
668235258920,Israel Russel,The Watsica College,2012,734,1
673405868867,Patty Nienow,The Louisiana College,2006,327,1
744298905242,Launa OKeefe,Western Hudson,2016,304,1
765801325568,Tracy Strosin DDS,Raynor University,2008,573,1
813113249522,Seymour Kunze,East Delaware Academy,2013,362,1
838202635432,Napoleon Kling,The Herzog Academy,2011,955,1
995763034118,Dr. Ilse Klocko,Southern Schaden,2010,551,1
